TR10000-8,11-Deoxycortisol,100000.242.900,Chemistry
TR10001-6,Acetylcholinesterase,100000.245.700,Chemistry
TR10002-4,Acid Phosphatase,,Chemistry
TR10003-2,Acid Phosphatase Prostatic,,Chemistry
TR10004-0,Addis Count,,Chemistry
TR10005-7,Adenosine Deaminase,,Chemistry
TR10006-5,Adenosine Monophosphate Cyclic,,Chemistry
TR10007-3,17-Hydroxycorticosteroids,100000.242.950,Chemistry
TR10008-1,Corticotropin,100000.242.850,Chemistry
TR10009-9,Alanine Aminotransaminase,100000.168.000,Chemistry
TR10010-7,Albumin,100000.186.000,Chemistry
TR10011-5,Albumin Qualitative,,Chemistry
TR10012-3,Alcohol Fractionation,100000.502.000,Chemistry
TR10013-1,Alcohol Screen,,Chemistry
TR10014-9,Aldolase,100000.221.000,Chemistry
TR10015-6,Aldosterone,100000.158.000,Chemistry
TR10016-4,Alkaline Phosphatase,100000.169.000,Chemistry
TR10017-2,Alkaline Phosphatase Fractionation,100000.169.900,Chemistry
TR10018-0,Alpha 1-Acid Glycoprotein,100000.193.000,Chemistry
TR10019-8,17-Hydroxyprogesterone,100000.243.800,Chemistry
TR10020-6,Alpha Keto Acids,,Chemistry
TR10021-4,Alpha Fetoprotein,100000.245.500,Chemistry
TR10022-2,Alpha 2-Macroglobulin,,Chemistry
TR10023-0,Alprazolam,,Chemistry
TR10024-8,Aluminum,100000.380.000,Chemistry
TR10025-5,Amikacin Peak,100000.551.000,Chemistry
TR10026-3,Amikacin Random,100000.550.000,Chemistry
TR10027-1,Amikacin Trough,100000.552.000,Chemistry
TR10028-9,Amino Acid Nitrogen,,Chemistry
TR10029-7,Amino Acids,100000.446.200,Chemistry
TR10030-5,Amino Acids Screen,,Chemistry
TR10031-3,Amiodarone,100000.553.000,Chemistry
TR10032-1,Amitriptyline,100000.554.000,Chemistry
TR10033-9,17-Ketogenic Steroids,,Chemistry
TR10034-7,Ammonia,100000.222.000,Chemistry
TR10035-4,Amniotic Fluid Analysis,,Chemistry
TR10036-2,Amobarbital,,Chemistry
TR10037-0,Amphetamine Screen,100000.503.000,Chemistry
TR10038-8,Amylase,100000.235.000,Chemistry
TR10039-6,Amylase Fractionation,100000.236.000,Chemistry
TR10040-4,Androstenedione,100000.243.000,Chemistry
TR10041-2,Angiotensin Converting Enzyme,100000.223.000,Chemistry
TR10042-0,Vasopressin,100000.183.900,Chemistry
TR10043-8,Antimony,100000.381.000,Chemistry
TR10044-6,17-Ketosteroids,100000.243.900,Chemistry
