10000-8,R wave duration.lead AVR,
10001-6,R wave duration.lead I,
10002-4,R wave duration.lead II,
10003-2,R wave duration.lead III,
10004-0,R wave duration.lead V1,
10005-7,R wave duration.lead V2,
10006-5,R wave duration.lead V3,
10007-3,R wave duration.lead V4,
10008-1,R wave duration.lead V5,
10009-9,R wave duration.lead V6,
10010-7,R' wave amplitude.lead AVF,
10011-5,R' wave amplitude.lead AVL,
10012-3,R' wave amplitude.lead AVR,
10013-1,R' wave amplitude.lead I,
10014-9,R' wave amplitude.lead II,
10015-6,R' wave amplitude.lead III,
10016-4,R' wave amplitude.lead V1,
10017-2,R' wave amplitude.lead V2,
10018-0,R' wave amplitude.lead V3,
10019-8,R' wave amplitude.lead V4,
10020-6,R' wave amplitude.lead V5,
10021-4,R' wave amplitude.lead V6,
10022-2,R' wave duration.lead AVF,
10023-0,R' wave duration.lead AVL,
10024-8,R' wave duration.lead AVR,
1002-5,DBG Ab,
10025-5,R' wave duration.lead I,
10026-3,R' wave duration.lead II,
10027-1,R' wave duration.lead III,
10028-9,R' wave duration.lead V1,
10029-7,R' wave duration.lead V2,
10030-5,R' wave duration.lead V3,
10031-3,R' wave duration.lead V4,
10032-1,R' wave duration.lead V5,
1003-3,Indirect antiglobulin test.complement specific reagent,
10033-9,R' wave duration.lead V6,
10034-7,S wave amplitude.lead AVF,
10035-4,S wave amplitude.lead AVL,
10036-2,S wave amplitude.lead AVR,
10037-0,S wave amplitude.lead I,
10038-8,S wave amplitude.lead II,
10039-6,S wave amplitude.lead III,
10040-4,S wave amplitude.lead V1,
1004-1,Direct antiglobulin test.complement specific reagent,
10041-2,S wave amplitude.lead V2,
10042-0,S wave amplitude.lead V3,
10043-8,S wave amplitude.lead V4,
10044-6,S wave amplitude.lead V5,
10045-3,S wave amplitude.lead V6,
10046-1,S wave duration.lead AVF,
10047-9,S wave duration.lead AVL,
10048-7,S wave duration.lead AVR,
10049-5,S wave duration.lead I,
10050-3,S wave duration.lead II,
10051-1,S wave duration.lead III,
10052-9,S wave duration.lead V1,
10053-7,S wave duration.lead V2,
10054-5,S wave duration.lead V3,
10055-2,S wave duration.lead V4,
10056-0,S wave duration.lead V5,
10057-8,S wave duration.lead V6,
1005-8,Indirect antiglobulin test.IgG specific reagent,100000.845.000
10058-6,S' wave amplitude.lead AVF,
10059-4,S' wave amplitude.lead AVL,
10060-2,S' wave amplitude.lead AVR,
10061-0,S' wave amplitude.lead I,
10062-8,S' wave amplitude.lead II,
10063-6,S' wave amplitude.lead III,
10064-4,S' wave amplitude.lead V1,
10065-1,S' wave amplitude.lead V2,
1006-6,Direct antiglobulin test.IgG specific reagent,
10066-9,S' wave amplitude.lead V3,
10067-7,S' wave amplitude.lead V4,
10068-5,S' wave amplitude.lead V5,
10069-3,S' wave amplitude.lead V6,
10070-1,S' wave duration.lead AVF,
10071-9,S' wave duration.lead AVL,
10072-7,S' wave duration.lead AVR,
10073-5,S' wave duration.lead I,
1007-4,Direct antiglobulin test.poly specific reagent,200000.692.000
10074-3,S' wave duration.lead II,
10075-0,S' wave duration.lead III,
10076-8,S' wave duration.lead V1,
10077-6,S' wave duration.lead V2,
10078-4,S' wave duration.lead V3,
10079-2,S' wave duration.lead V4,
100-8,Cefoperazone,
10080-0,S' wave duration.lead V5,
10081-8,S' wave duration.lead V6,
1008-2,Indirect antiglobulin test.poly specific reagent,
10082-6,ST initial amplitude 6 ms.lead AVF,
10083-4,ST initial amplitude 6 ms.lead AVL,
10084-2,ST initial amplitude 6 ms.lead AVR,
10085-9,ST initial amplitude 6 ms.lead I,
10086-7,ST initial amplitude 6 ms.lead II,
10087-5,ST initial amplitude 6 ms.lead III,
10088-3,ST initial amplitude 6 ms.lead V1,
